x (m), Deflection y (m), Slope (rad), Moment (Nm), Shear (N)
0.000e+00,0.000e+00,0.000e+00,5.000e+03,-1.000e+03
1.000e-02,0.000e+00,5.000e-06,4.990e+03,-1.000e+03
2.000e-02,5.000e-08,9.990e-06,4.980e+03,-1.000e+03
3.000e-02,1.499e-07,1.497e-05,4.970e+03,-1.000e+03
4.000e-02,2.996e-07,1.994e-05,4.960e+03,-1.000e+03
5.000e-02,4.990e-07,2.490e-05,4.950e+03,-1.000e+03
6.000e-02,7.480e-07,2.985e-05,4.940e+03,-1.000e+03
7.000e-02,1.047e-06,3.479e-05,4.930e+03,-1.000e+03
8.000e-02,1.394e-06,3.972e-05,4.920e+03,-1.000e+03
9.000e-02,1.792e-06,4.464e-05,4.910e+03,-1.000e+03
1.000e-01,2.238e-06,4.955e-05,4.900e+03,-1.000e+03
1.100e-01,2.734e-06,5.445e-05,4.890e+03,-1.000e+03
1.200e-01,3.278e-06,5.934e-05,4.880e+03,-1.000e+03
1.300e-01,3.871e-06,6.422e-05,4.870e+03,-1.000e+03
1.400e-01,4.514e-06,6.909e-05,4.860e+03,-1.000e+03
1.500e-01,5.205e-06,7.395e-05,4.850e+03,-1.000e+03
1.600e-01,5.944e-06,7.880e-05,4.840e+03,-1.000e+03
1.700e-01,6.732e-06,8.364e-05,4.830e+03,-1.000e+03
1.800e-01,7.568e-06,8.847e-05,4.820e+03,-1.000e+03
1.900e-01,8.453e-06,9.329e-05,4.810e+03,-1.000e+03
2.000e-01,9.386e-06,9.810e-05,4.800e+03,-1.000e+03
2.100e-01,1.037e-05,1.029e-04,4.790e+03,-1.000e+03
2.200e-01,1.140e-05,1.077e-04,4.780e+03,-1.000e+03
2.300e-01,1.247e-05,1.125e-04,4.770e+03,-1.000e+03
2.400e-01,1.360e-05,1.172e-04,4.760e+03,-1.000e+03
2.500e-01,1.477e-05,1.220e-04,4.750e+03,-1.000e+03
2.600e-01,1.599e-05,1.268e-04,4.740e+03,-1.000e+03
2.700e-01,1.726e-05,1.315e-04,4.730e+03,-1.000e+03
2.800e-01,1.857e-05,1.362e-04,4.720e+03,-1.000e+03
2.900e-01,1.993e-05,1.409e-04,4.710e+03,-1.000e+03
3.000e-01,2.134e-05,1.457e-04,4.700e+03,-1.000e+03
3.100e-01,2.280e-05,1.504e-04,4.690e+03,-1.000e+03
3.200e-01,2.430e-05,1.550e-04,4.680e+03,-1.000e+03
3.300e-01,2.585e-05,1.597e-04,4.670e+03,-1.000e+03
3.400e-01,2.745e-05,1.644e-04,4.660e+03,-1.000e+03
3.500e-01,2.910e-05,1.691e-04,4.650e+03,-1.000e+03
3.600e-01,3.079e-05,1.737e-04,4.640e+03,-1.000e+03
3.700e-01,3.252e-05,1.783e-04,4.630e+03,-1.000e+03
3.800e-01,3.431e-05,1.830e-04,4.620e+03,-1.000e+03
3.900e-01,3.614e-05,1.876e-04,4.610e+03,-1.000e+03
4.000e-01,3.801e-05,1.922e-04,4.600e+03,-1.000e+03
4.100e-01,3.993e-05,1.968e-04,4.590e+03,-1.000e+03
4.200e-01,4.190e-05,2.014e-04,4.580e+03,-1.000e+03
4.300e-01,4.392e-05,2.060e-04,4.570e+03,-1.000e+03
4.400e-01,4.598e-05,2.105e-04,4.560e+03,-1.000e+03
4.500e-01,4.808e-05,2.151e-04,4.550e+03,-1.000e+03
4.600e-01,5.023e-05,2.197e-04,4.540e+03,-1.000e+03
4.700e-01,5.243e-05,2.242e-04,4.530e+03,-1.000e+03
4.800e-01,5.467e-05,2.287e-04,4.520e+03,-1.000e+03
4.900e-01,5.696e-05,2.332e-04,4.510e+03,-1.000e+03
5.000e-01,5.929e-05,2.378e-04,4.500e+03,-1.000e+03
5.100e-01,6.167e-05,2.423e-04,4.490e+03,-1.000e+03
5.200e-01,6.409e-05,2.467e-04,4.480e+03,-1.000e+03
5.300e-01,6.656e-05,2.512e-04,4.470e+03,-1.000e+03
5.400e-01,6.907e-05,2.557e-04,4.460e+03,-1.000e+03
5.500e-01,7.163e-05,2.602e-04,4.450e+03,-1.000e+03
5.600e-01,7.423e-05,2.646e-04,4.440e+03,-1.000e+03
5.700e-01,7.687e-05,2.690e-04,4.430e+03,-1.000e+03
5.800e-01,7.956e-05,2.735e-04,4.420e+03,-1.000e+03
5.900e-01,8.230e-05,2.779e-04,4.410e+03,-1.000e+03
6.000e-01,8.508e-05,2.823e-04,4.400e+03,-1.000e+03
6.100e-01,8.790e-05,2.867e-04,4.390e+03,-1.000e+03
6.200e-01,9.077e-05,2.911e-04,4.380e+03,-1.000e+03
6.300e-01,9.368e-05,2.955e-04,4.370e+03,-1.000e+03
6.400e-01,9.663e-05,2.998e-04,4.360e+03,-1.000e+03
6.500e-01,9.963e-05,3.042e-04,4.350e+03,-1.000e+03
6.600e-01,1.027e-04,3.086e-04,4.340e+03,-1.000e+03
6.700e-01,1.058e-04,3.129e-04,4.330e+03,-1.000e+03
6.800e-01,1.089e-04,3.172e-04,4.320e+03,-1.000e+03
6.900e-01,1.121e-04,3.215e-04,4.310e+03,-1.000e+03
7.000e-01,1.153e-04,3.258e-04,4.300e+03,-1.000e+03
7.100e-01,1.185e-04,3.301e-04,4.290e+03,-1.000e+03
7.200e-01,1.218e-04,3.344e-04,4.280e+03,-1.000e+03
7.300e-01,1.252e-04,3.387e-04,4.270e+03,-1.000e+03
7.400e-01,1.286e-04,3.430e-04,4.260e+03,-1.000e+03
7.500e-01,1.320e-04,3.473e-04,4.250e+03,-1.000e+03
7.600e-01,1.355e-04,3.515e-04,4.240e+03,-1.000e+03
7.700e-01,1.390e-04,3.557e-04,4.230e+03,-1.000e+03
7.800e-01,1.425e-04,3.600e-04,4.220e+03,-1.000e+03
7.900e-01,1.461e-04,3.642e-04,4.210e+03,-1.000e+03
8.000e-01,1.498e-04,3.684e-04,4.200e+03,-1.000e+03
8.100e-01,1.535e-04,3.726e-04,4.190e+03,-1.000e+03
8.200e-01,1.572e-04,3.768e-04,4.180e+03,-1.000e+03
8.300e-01,1.610e-04,3.810e-04,4.170e+03,-1.000e+03
8.400e-01,1.648e-04,3.851e-04,4.160e+03,-1.000e+03
8.500e-01,1.686e-04,3.893e-04,4.150e+03,-1.000e+03
8.600e-01,1.725e-04,3.934e-04,4.140e+03,-1.000e+03
8.700e-01,1.765e-04,3.976e-04,4.130e+03,-1.000e+03
8.800e-01,1.804e-04,4.017e-04,4.120e+03,-1.000e+03
8.900e-01,1.844e-04,4.058e-04,4.110e+03,-1.000e+03
9.000e-01,1.885e-04,4.099e-04,4.100e+03,-1.000e+03
9.100e-01,1.926e-04,4.140e-04,4.090e+03,-1.000e+03
9.200e-01,1.967e-04,4.181e-04,4.080e+03,-1.000e+03
9.300e-01,2.009e-04,4.222e-04,4.070e+03,-1.000e+03
9.400e-01,2.051e-04,4.263e-04,4.060e+03,-1.000e+03
9.500e-01,2.094e-04,4.303e-04,4.050e+03,-1.000e+03
9.600e-01,2.137e-04,4.344e-04,4.040e+03,-1.000e+03
9.700e-01,2.181e-04,4.384e-04,4.030e+03,-1.000e+03
9.800e-01,2.224e-04,4.425e-04,4.020e+03,-1.000e+03
9.900e-01,2.269e-04,4.465e-04,4.010e+03,-1.000e+03
1.000e+00,2.313e-04,4.505e-04,4.000e+03,-1.000e+03
1.010e+00,2.358e-04,4.545e-04,3.990e+03,-1.000e+03
1.020e+00,2.404e-04,4.585e-04,3.980e+03,-1.000e+03
1.030e+00,2.450e-04,4.625e-04,3.970e+03,-1.000e+03
1.040e+00,2.496e-04,4.664e-04,3.960e+03,-1.000e+03
1.050e+00,2.543e-04,4.704e-04,3.950e+03,-1.000e+03
1.060e+00,2.590e-04,4.744e-04,3.940e+03,-1.000e+03
1.070e+00,2.637e-04,4.783e-04,3.930e+03,-1.000e+03
1.080e+00,2.685e-04,4.822e-04,3.920e+03,-1.000e+03
1.090e+00,2.733e-04,4.861e-04,3.910e+03,-1.000e+03
1.100e+00,2.782e-04,4.901e-04,3.900e+03,-1.000e+03
1.110e+00,2.831e-04,4.940e-04,3.890e+03,-1.000e+03
1.120e+00,2.880e-04,4.978e-04,3.880e+03,-1.000e+03
1.130e+00,2.930e-04,5.017e-04,3.870e+03,-1.000e+03
1.140e+00,2.980e-04,5.056e-04,3.860e+03,-1.000e+03
1.150e+00,3.031e-04,5.095e-04,3.850e+03,-1.000e+03
1.160e+00,3.082e-04,5.133e-04,3.840e+03,-1.000e+03
1.170e+00,3.133e-04,5.171e-04,3.830e+03,-1.000e+03
1.180e+00,3.185e-04,5.210e-04,3.820e+03,-1.000e+03
1.190e+00,3.237e-04,5.248e-04,3.810e+03,-1.000e+03
1.200e+00,3.289e-04,5.286e-04,3.800e+03,-1.000e+03
1.210e+00,3.342e-04,5.324e-04,3.790e+03,-1.000e+03
1.220e+00,3.395e-04,5.362e-04,3.780e+03,-1.000e+03
1.230e+00,3.449e-04,5.400e-04,3.770e+03,-1.000e+03
1.240e+00,3.503e-04,5.437e-04,3.760e+03,-1.000e+03
1.250e+00,3.557e-04,5.475e-04,3.750e+03,-1.000e+03
1.260e+00,3.612e-04,5.513e-04,3.740e+03,-1.000e+03
1.270e+00,3.667e-04,5.550e-04,3.730e+03,-1.000e+03
1.280e+00,3.723e-04,5.587e-04,3.720e+03,-1.000e+03
1.290e+00,3.778e-04,5.624e-04,3.710e+03,-1.000e+03
1.300e+00,3.835e-04,5.662e-04,3.700e+03,-1.000e+03
1.310e+00,3.891e-04,5.699e-04,3.690e+03,-1.000e+03
1.320e+00,3.948e-04,5.735e-04,3.680e+03,-1.000e+03
1.330e+00,4.006e-04,5.772e-04,3.670e+03,-1.000e+03
1.340e+00,4.063e-04,5.809e-04,3.660e+03,-1.000e+03
1.350e+00,4.122e-04,5.846e-04,3.650e+03,-1.000e+03
1.360e+00,4.180e-04,5.882e-04,3.640e+03,-1.000e+03
1.370e+00,4.239e-04,5.918e-04,3.630e+03,-1.000e+03
1.380e+00,4.298e-04,5.955e-04,3.620e+03,-1.000e+03
1.390e+00,4.358e-04,5.991e-04,3.610e+03,-1.000e+03
1.400e+00,4.417e-04,6.027e-04,3.600e+03,-1.000e+03
1.410e+00,4.478e-04,6.063e-04,3.590e+03,-1.000e+03
1.420e+00,4.538e-04,6.099e-04,3.580e+03,-1.000e+03
1.430e+00,4.599e-04,6.135e-04,3.570e+03,-1.000e+03
1.440e+00,4.661e-04,6.170e-04,3.560e+03,-1.000e+03
1.450e+00,4.722e-04,6.206e-04,3.550e+03,-1.000e+03
1.460e+00,4.784e-04,6.242e-04,3.540e+03,-1.000e+03
1.470e+00,4.847e-04,6.277e-04,3.530e+03,-1.000e+03
1.480e+00,4.910e-04,6.312e-04,3.520e+03,-1.000e+03
1.490e+00,4.973e-04,6.347e-04,3.510e+03,-1.000e+03
1.500e+00,5.036e-04,6.383e-04,3.500e+03,-1.000e+03
1.510e+00,5.100e-04,6.418e-04,3.490e+03,-1.000e+03
1.520e+00,5.164e-04,6.452e-04,3.480e+03,-1.000e+03
1.530e+00,5.229e-04,6.487e-04,3.470e+03,-1.000e+03
1.540e+00,5.294e-04,6.522e-04,3.460e+03,-1.000e+03
1.550e+00,5.359e-04,6.557e-04,3.450e+03,-1.000e+03
1.560e+00,5.424e-04,6.591e-04,3.440e+03,-1.000e+03
1.570e+00,5.490e-04,6.625e-04,3.430e+03,-1.000e+03
